,subject_n,visibility,reward,RT,FP,FP1,FP2,FP3,FP4,FP5
140,0,True,False,0.28199602501363297,0.9,0.6,0.3,0.9,0.9,0.9
141,0,True,False,0.33346522884882246,0.3,0.9,0.6,0.3,0.9,0.9
142,0,True,False,0.3031548359131667,0.3,0.3,0.9,0.6,0.3,0.9
143,0,True,False,0.2817349013584031,0.9,0.3,0.3,0.9,0.6,0.3
144,0,True,False,0.28235430889833396,0.9,0.9,0.3,0.3,0.9,0.6
145,0,True,False,0.3329811445851418,0.9,0.9,0.9,0.3,0.3,0.9
146,0,True,False,0.332110391824749,0.9,0.9,0.9,0.9,0.3,0.3
147,0,True,False,0.32,0.3,0.9,0.9,0.9,0.9,0.3
148,0,True,False,0.28323015012177666,0.6,0.3,0.9,0.9,0.9,0.9
149,0,True,False,0.32,0.3,0.6,0.3,0.9,0.9,0.9
150,0,True,True,0.32,0.3,0.0,0.0,0.0,0.0,0.0
151,0,True,True,0.27,0.9,0.3,0.0,0.0,0.0,0.0
152,0,True,True,0.32,0.9,0.9,0.3,0.0,0.0,0.0
153,0,True,True,0.27,0.6,0.9,0.9,0.3,0.0,0.0
154,0,True,True,0.32,0.6,0.6,0.9,0.9,0.3,0.0
155,0,True,True,0.32,0.3,0.6,0.6,0.9,0.9,0.3
156,0,True,True,0.27,0.9,0.3,0.6,0.6,0.9,0.9
157,0,True,True,0.32,0.3,0.9,0.3,0.6,0.6,0.9
158,0,True,True,0.32,0.9,0.3,0.9,0.3,0.6,0.6
159,0,True,True,0.27,0.9,0.9,0.3,0.9,0.3,0.6
160,0,True,True,0.3058760275122978,0.3,0.9,0.9,0.3,0.9,0.3
161,0,True,True,0.32,0.3,0.3,0.9,0.9,0.3,0.9
162,0,True,True,0.27,0.3,0.3,0.3,0.9,0.9,0.3
163,0,True,True,0.28893058763547824,0.3,0.3,0.3,0.3,0.9,0.9
164,0,True,True,0.27,0.9,0.3,0.3,0.3,0.3,0.9
165,0,True,True,0.27,0.6,0.9,0.3,0.3,0.3,0.3
166,0,True,True,0.32,0.6,0.6,0.9,0.3,0.3,0.3
167,0,True,True,0.32,0.3,0.6,0.6,0.9,0.3,0.3
168,0,True,True,0.3185522206034356,0.3,0.3,0.6,0.6,0.9,0.3
169,0,True,True,0.27,0.9,0.3,0.3,0.6,0.6,0.9
170,0,True,True,0.32,0.9,0.9,0.3,0.3,0.6,0.6
171,0,True,True,0.32,0.9,0.9,0.9,0.3,0.3,0.6
172,0,True,True,0.32,0.6,0.9,0.9,0.9,0.3,0.3
173,0,True,True,0.2887963762409636,0.6,0.6,0.9,0.9,0.9,0.3
174,0,True,True,0.32,0.3,0.6,0.6,0.9,0.9,0.9
175,0,True,True,0.32,0.6,0.3,0.6,0.6,0.9,0.9
176,0,True,True,0.32,0.3,0.6,0.3,0.6,0.6,0.9
177,0,True,True,0.32,0.3,0.3,0.6,0.3,0.6,0.6
178,0,True,True,0.28689584783732486,0.3,0.3,0.3,0.6,0.3,0.6
179,0,True,True,0.27,0.9,0.3,0.3,0.3,0.6,0.3
180,0,True,False,0.32,0.3,0.0,0.0,0.0,0.0,0.0
181,0,True,False,0.32,0.9,0.3,0.0,0.0,0.0,0.0
182,0,True,False,0.32,0.9,0.9,0.3,0.0,0.0,0.0
183,0,True,False,0.32,0.3,0.9,0.9,0.3,0.0,0.0
184,0,True,False,0.32,0.3,0.3,0.9,0.9,0.3,0.0
185,0,True,False,0.32,0.6,0.3,0.3,0.9,0.9,0.3
186,0,True,False,0.3325073703041064,0.3,0.6,0.3,0.3,0.9,0.9
187,0,True,False,0.2816323965215046,0.9,0.3,0.6,0.3,0.3,0.9
